CoinName,PreMinedValue,Name,Algorithm,FullyPremined,Url,ImageUrl,Id,ProofType,Sponsored,SortOrder,TotalCoinSupply,FullName,TotalCoinsFreeFloat,Symbol,source,timestamp_api_call
ATB coin,N/A,ATB,SHA256,0,/coins/atb/overview,/media/1383689/atb.png,175618,PoW,False,1284,N/A,ATB coin (ATB),N/A,ATB,cryptocompare,2017-12-26 13:58:56.420913
ATC Coin,N/A,ATCC,Scrypt,0,/coins/atcc/overview,/media/12318294/atcc.png,339419,PoW,False,1686,84000000,ATC Coin (ATCC),N/A,ATCC,cryptocompare,2017-12-26 13:58:56.420913
ATFS Project,N/A,ATFS,N/A,0,/coins/atfs/overview,/media/14913545/atfs.png,375855,N/A,False,1820,380000000,ATFS Project (ATFS),N/A,ATFS,cryptocompare,2017-12-26 13:58:56.420913
A-Token,N/A,ATKN,N/A,0,/coins/atkn/overview,/media/12318083/atkn.png,310392,N/A,False,1594,30000000,A-Token (ATKN),N/A,ATKN,cryptocompare,2017-12-26 13:58:56.420913
ATLANT,N/A,ATL,N/A,0,/coins/atl/overview,/media/9350703/atlant.png,235213,N/A,False,1505,54175041,ATLANT (ATL),N/A,ATL,cryptocompare,2017-12-26 13:58:56.420913
Autumncoin,N/A,ATM,X11,0,/coins/atm/overview,/media/351492/atm.png,28023,PoW/PoS,False,729,N/A,Autumncoin (ATM),N/A,ATM,cryptocompare,2017-12-26 13:58:56.420913
Atmos,N/A,ATMS,PoS,0,/coins/atms/overview,/media/1383003/atms.png,61902,PoS,False,1172,110290030,Atmos (ATMS),N/A,ATMS,cryptocompare,2017-12-26 13:58:56.420913
Atomic Coin,N/A,ATOM,Scrypt,0,/coins/atom/overview,/media/351685/atom.png,29721,PoW/PoS,False,820,12000000,Atomic Coin (ATOM),N/A,ATOM,cryptocompare,2017-12-26 13:58:56.420913
Cosmos,N/A,ATOM*,PoS,0,/coins/atomstar/overview,/media/1383901/cosmos.jpg,199107,N/A,False,1414,N/A,Cosmos (ATOM*),N/A,ATOM*,cryptocompare,2017-12-26 13:58:56.420913
Authorship,N/A,ATS,N/A,0,/coins/ats/overview,/media/12318356/ats.png,345017,N/A,False,1717,100000000,Authorship (ATS),N/A,ATS,cryptocompare,2017-12-26 13:58:56.420913
ArtexCoin,N/A,ATX,X11,0,/coins/atx/overview,/media/352084/atx.png,33871,PoW,False,920,500000000,ArtexCoin (ATX),N/A,ATX,cryptocompare,2017-12-26 13:58:56.420913
Aurora Coin,N/A,AUR,Scrypt,0,/coins/aur/overview,/media/19608/aur.png,4333,PoW/PoS,False,47,21000000,Aurora Coin (AUR),N/A,AUR,cryptocompare,2017-12-26 13:58:56.420913
