Points,is_closed,likes,link,name,socialsource,source,symbol,symbol_id,talking_about,timestamp_api_call
1241,False,1221.0,https://www.facebook.com/bitcadplatform/,BitCAD,Facebook,cryptocompare,BCD*,419930,2.0,2017-12-30 17:56:28.704233
0,,,,,Facebook,cryptocompare,BCF,34854,,2017-12-30 17:56:18.786548
0,,,,,Facebook,cryptocompare,BCH,202330,,2017-12-30 17:32:32.893549
1218,False,1218.0,https://www.facebook.com/bytecoin.cryptocoin/,Bytecoin,Facebook,cryptocompare,BCN,5280,0.0,2017-12-30 17:56:40.347596
0,,,,,Facebook,cryptocompare,BCO*,422188,,2017-12-30 17:56:29.063513
0,,,,,Facebook,cryptocompare,BCOIN,536905,,2017-12-30 17:56:45.418415
1624,False,1454.0,https://www.facebook.com/blockmasonio/,BlockMason,Facebook,cryptocompare,BCPT,374281,17.0,2017-12-30 17:56:25.136254
0,,,,,Facebook,cryptocompare,BCR,5345,,2017-12-30 17:56:44.663947
0,,,,,Facebook,cryptocompare,BCX,4335,,2017-12-30 17:56:31.882479
0,,,,,Facebook,cryptocompare,BCX*,536213,,2017-12-30 17:56:45.348999
1052,False,882.0,https://www.facebook.com/spellsofgenesis/,Spells of Genesis,Facebook,cryptocompare,BCY,20315,17.0,2017-12-30 17:55:51.160116
339661,False,80781.0,https://www.facebook.com/bitdegree.org/,BitDegree,Facebook,cryptocompare,BDG,423754,25888.0,2017-12-30 17:56:28.897516
360,False,270.0,https://www.facebook.com/bitdeal.co.in/,Bitdeal,Facebook,cryptocompare,BDL,374294,9.0,2017-12-30 17:56:24.008863
0,,,,,Facebook,cryptocompare,BDR,372637,,2017-12-30 17:56:23.146183
0,,,,,Facebook,cryptocompare,BELA,21239,,2017-12-30 17:55:53.498848
0,,,,,Facebook,cryptocompare,BEN,4336,,2017-12-30 17:56:31.187176
0,,,,,Facebook,cryptocompare,BENJI,71884,,2017-12-30 17:56:50.463163
0,,,,,Facebook,cryptocompare,BERN,20817,,2017-12-30 17:55:51.822770
79,False,59.0,https://www.facebook.com/Blockchainbest-1448729475160435/,Blockchain.best,Facebook,cryptocompare,BEST,56246,2.0,2017-12-30 17:56:46.267592
0,,,,,Facebook,cryptocompare,BET,4337,,2017-12-30 17:56:31.280540
0,,,,,Facebook,cryptocompare,BET*,177831,,2017-12-30 17:55:43.735843
0,,,,,Facebook,cryptocompare,BFX,25238,,2017-12-30 17:56:02.544437
0,,,,,Facebook,cryptocompare,BHC,29559,,2017-12-30 17:56:10.110942
0,,,,,Facebook,cryptocompare,BHC*,369029,,2017-12-30 17:56:24.143326
815,False,815.0,https://www.facebook.com/bikercoin/,Bikercoin,Facebook,cryptocompare,BIC,41587,0.0,2017-12-30 17:56:28.071526
0,,,,,Facebook,cryptocompare,BIGUP,20819,,2017-12-30 17:55:52.601550
1659,False,679.0,https://www.facebook.com/biocoin.lavkalavka/,Biocoin,Facebook,cryptocompare,BIO,484355,98.0,2017-12-30 17:56:39.631154
0,,,,,Facebook,cryptocompare,BIOB,50734,,2017-12-30 17:56:40.320096
0,,,,,Facebook,cryptocompare,BIOS,20209,,2017-12-30 17:55:49.497825
0,,,,,Facebook,cryptocompare,BIP,33936,,2017-12-30 17:56:18.064804
955,False,345.0,https://www.facebook.com/cryptobismuth/,Bismuth,Facebook,cryptocompare,BIS,322963,61.0,2017-12-30 17:56:13.120307
0,,,,,Facebook,cryptocompare,BIT16,22333,,2017-12-30 17:55:59.625450
0,,,,,Facebook,cryptocompare,BITB,4338,,2017-12-30 17:56:31.123571
0,,,,,Facebook,cryptocompare,BITCNY,28019,,2017-12-30 17:56:03.181134
0,,,,,Facebook,cryptocompare,BITOK,81445,,2017-12-30 17:56:51.607822
0,,,,,Facebook,cryptocompare,BITS,5368,,2017-12-30 17:56:44.840675
