Comments,Followers,PageViews,Points,Posts,socialsource,source,symbol,symbol_id,timestamp_api_call
21.0,26,2486,1035,7.0,CryptoCompare,cryptocompare,NEU*,13044,2018-01-01 15:09:32.320152
10,160,10983,4550,18,CryptoCompare,cryptocompare,NMR,166594,2018-01-01 15:12:56.272155
10.0,160,10983,4550,18.0,CryptoCompare,cryptocompare,NMR,166594,2018-01-01 15:09:33.188758
1771.0,3343,477679,128360,1083.0,CryptoCompare,cryptocompare,NXT,1183,2018-01-01 15:09:30.780609
1771,3343,477679,128360,1083,CryptoCompare,cryptocompare,NXT,1183,2018-01-01 15:12:53.802685
1,67,6681,1735,2,CryptoCompare,cryptocompare,OBITS,15323,2018-01-01 15:12:55.536987
1.0,67,6681,1735,2.0,CryptoCompare,cryptocompare,OBITS,15323,2018-01-01 15:09:32.092261
9,57,5458,1990,19,CryptoCompare,cryptocompare,PAK,17006,2018-01-01 15:12:56.412947
9.0,57,5458,1990,19.0,CryptoCompare,cryptocompare,PAK,17006,2018-01-01 15:09:33.397128
1,41,2631,1110,3,CryptoCompare,cryptocompare,PING,177503,2018-01-01 15:12:56.834028
1.0,41,2631,1110,3.0,CryptoCompare,cryptocompare,PING,177503,2018-01-01 15:09:33.749439
56,265,27602,8310,45,CryptoCompare,cryptocompare,PLBT,171884,2018-01-01 15:12:56.394453
56.0,265,27602,8310,45.0,CryptoCompare,cryptocompare,PLBT,171884,2018-01-01 15:09:33.475535
94.0,314,33971,10415,65.0,CryptoCompare,cryptocompare,PTOY,129035,2018-01-01 15:09:31.246181
94,314,33971,10415,65,CryptoCompare,cryptocompare,PTOY,129035,2018-01-01 15:12:53.741433
,10,957,250,,CryptoCompare,cryptocompare,PXI,15274,2018-01-01 15:09:32.962641
3.0,94,8879,2505,5.0,CryptoCompare,cryptocompare,QAU,170958,2018-01-01 15:09:33.528105
3,94,8879,2505,5,CryptoCompare,cryptocompare,QAU,170958,2018-01-01 15:12:56.632146
47,187,18048,5870,29,CryptoCompare,cryptocompare,QRL,127667,2018-01-01 15:12:54.127081
47.0,187,18048,5870,29.0,CryptoCompare,cryptocompare,QRL,127667,2018-01-01 15:09:31.105701
166,1162,142889,34460,150,CryptoCompare,cryptocompare,QTUM,112392,2018-01-01 15:12:52.212517
166.0,1162,142889,34460,150.0,CryptoCompare,cryptocompare,QTUM,112392,2018-01-01 15:09:29.751575
6,70,8313,1885,3,CryptoCompare,cryptocompare,QWARK,116425,2018-01-01 15:12:52.792481
6.0,70,8313,1885,3.0,CryptoCompare,cryptocompare,QWARK,116425,2018-01-01 15:09:30.197139
11.0,111,12920,3135,10.0,CryptoCompare,cryptocompare,RADS,15870,2018-01-01 15:09:32.990545
11,111,12920,3135,10,CryptoCompare,cryptocompare,RADS,15870,2018-01-01 15:12:55.561677
91,218,36610,8135,71,CryptoCompare,cryptocompare,RVT,176280,2018-01-01 15:12:56.701370
91.0,218,36610,8135,71.0,CryptoCompare,cryptocompare,RVT,176280,2018-01-01 15:09:33.448304
