closed_issues,closed_pull_issues,closed_total_issues,created_at,fork,forks,language,last_push,last_update,open_issues,open_pull_issues,open_total_issues,parent,size,socialsource,source,stars,subscribers,symbol,symbol_id,timestamp_api_call,url
0,0,0,1433551282,False,2.0,C++,1465428883,1511792357,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",32554,CodeRepository,cryptocompare,6.0,5.0,PAK,17006,2018-01-01 15:09:33.207319,https://github.com/Pakcoin-project/pakcoin
0,2,2,1405835658,false,2.0,C++,1514474078,1509109612,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",6807,CodeRepository,cryptocompare,1.0,2.0,PXI,15274,2018-01-01 15:12:54.822901,https://github.com/Prime-Cryptos/Prime-xi
0,2,2,1405835658,False,2.0,C++,1514474078,1509109612,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",6807,CodeRepository,cryptocompare,1.0,2.0,PXI,15274,2018-01-01 15:09:32.721494,https://github.com/Prime-Cryptos/Prime-xi
45,699,744,1476628360,false,47.0,Python,1514763986,1514630601,15,0,15,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",10624,CodeRepository,cryptocompare,228.0,50.0,QRL,127667,2018-01-01 15:12:53.842802,https://github.com/theQRL/QRL
45,699,744,1476628360,False,47.0,Python,1514763986,1514630601,15,0,15,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",10624,CodeRepository,cryptocompare,228.0,50.0,QRL,127667,2018-01-01 15:09:30.830495,https://github.com/theQRL/QRL
111,322,433,1488529031,false,107.0,C++,1514561300,1514828740,21,0,21,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",78743,CodeRepository,cryptocompare,533.0,146.0,QTUM,112392,2018-01-01 15:12:52.182736,https://github.com/qtumproject/qtum
111,322,433,1488529031,False,107.0,C++,1514561300,1514828740,21,0,21,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",78743,CodeRepository,cryptocompare,533.0,146.0,QTUM,112392,2018-01-01 15:09:29.550671,https://github.com/qtumproject/qtum
0,6,6,1453058209,false,5.0,C++,1468352339,1480472216,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",11013,CodeRepository,cryptocompare,5.0,6.0,RADS,15870,2018-01-01 15:12:55.156652,https://github.com/tm2013/Radium
0,6,6,1453058209,False,5.0,C++,1468352339,1480472216,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",11013,CodeRepository,cryptocompare,5.0,6.0,RADS,15870,2018-01-01 15:09:32.876420,https://github.com/tm2013/Radium
1031,1423,2454,1413568225,false,274.0,Go,1514763373,1514829450,109,32,141,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",20030,CodeRepository,cryptocompare,2022.0,253.0,SC,13072,2018-01-01 15:12:53.949257,https://github.com/NebulousLabs/Sia
1031,1423,2454,1413568225,False,274.0,Go,1514763373,1514829450,109,32,141,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",20030,CodeRepository,cryptocompare,2022.0,253.0,SC,13072,2018-01-01 15:09:31.467041,https://github.com/NebulousLabs/Sia
