close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
362.57,1,JordanManual,CCCAGG,362.77,362.57,362.77,VERI,1514800980,2018-01-01 14:51:31.544669,0.0,0.0
361.92,1,JordanManual,CCCAGG,362.54,361.92,362.53,VERI,1514801160,2018-01-01 14:51:31.544669,0.0,0.0
362.2,1,JordanManual,CCCAGG,362.2,361.72,361.72,VERI,1514801340,2018-01-01 14:51:31.544669,0.0,0.0
335.4,1,JordanManual,CCCAGG,362.06,335.36,362.06,VERI,1514801520,2018-01-01 14:51:31.544669,7.0,2347.52
334.75,1,JordanManual,CCCAGG,334.81,334.62,334.81,VERI,1514801700,2018-01-01 14:51:31.544669,0.0,0.0
335.67,1,JordanManual,CCCAGG,335.67,335.08,335.1,VERI,1514801880,2018-01-01 14:51:31.544669,0.0,0.0
336.47,1,JordanManual,CCCAGG,336.47,335.68,335.68,VERI,1514802060,2018-01-01 14:51:31.544669,0.0,0.0
336.83,1,JordanManual,CCCAGG,336.83,336.21,336.21,VERI,1514802240,2018-01-01 14:51:31.544669,0.0,0.0
337.64,1,JordanManual,CCCAGG,337.64,336.87,336.87,VERI,1514802420,2018-01-01 14:51:31.544669,0.0,0.0
337.0,1,JordanManual,CCCAGG,337.25,337.0,337.25,VERI,1514802600,2018-01-01 14:51:31.544669,0.0,0.0
337.57,1,JordanManual,CCCAGG,337.57,337.37,337.51,VERI,1514802780,2018-01-01 14:51:31.544669,0.0,0.0
337.58,1,JordanManual,CCCAGG,337.77,337.51,337.51,VERI,1514802960,2018-01-01 14:51:31.544669,0.0,0.0
337.47,1,JordanManual,CCCAGG,337.63,337.47,337.63,VERI,1514803140,2018-01-01 14:51:31.544669,0.0,0.0
337.45,1,JordanManual,CCCAGG,337.68,337.45,337.68,VERI,1514803320,2018-01-01 14:51:31.544669,0.0,0.0
338.1,1,JordanManual,CCCAGG,338.1,337.45,337.45,VERI,1514803500,2018-01-01 14:51:31.544669,0.0,0.0
338.3,1,JordanManual,CCCAGG,338.3,338.06,338.06,VERI,1514803680,2018-01-01 14:51:31.544669,0.0,0.0
338.74,1,JordanManual,CCCAGG,338.74,338.28,338.28,VERI,1514803860,2018-01-01 14:51:31.544669,0.0,0.0
338.8,1,JordanManual,CCCAGG,338.81,338.79,338.79,VERI,1514804040,2018-01-01 14:51:31.544669,0.0,0.0
338.56,1,JordanManual,CCCAGG,338.6,338.56,338.6,VERI,1514804220,2018-01-01 14:51:31.544669,6.71,2271.8
338.75,1,JordanManual,CCCAGG,338.75,338.45,338.45,VERI,1514804400,2018-01-01 14:51:31.544669,0.0,0.0
336.21,1,JordanManual,CCCAGG,338.75,336.21,338.75,VERI,1514804580,2018-01-01 14:51:31.544669,0.0,0.0
344.21,1,JordanManual,CCCAGG,349.97,334.63,335.1,VERI,1514804760,2018-01-01 14:51:31.544669,6.7,2306.21
342.42,1,JordanManual,CCCAGG,343.91,342.42,343.91,VERI,1514804940,2018-01-01 14:51:31.544669,0.0,0.0
342.28,1,JordanManual,CCCAGG,342.28,341.85,341.98,VERI,1514805120,2018-01-01 14:51:31.544669,0.0,0.0
334.32,1,JordanManual,CCCAGG,334.71,334.32,334.71,VERI,1514805300,2018-01-01 14:51:31.544669,1.0,334.71
334.15,1,JordanManual,CCCAGG,334.78,333.66,333.66,VERI,1514805480,2018-01-01 14:51:31.544669,1.81,605.68
334.25,1,JordanManual,CCCAGG,334.52,334.25,334.52,VERI,1514805660,2018-01-01 14:51:31.544669,1.27,424.84
334.29,1,JordanManual,CCCAGG,334.29,333.85,333.85,VERI,1514805840,2018-01-01 14:51:31.544669,0.0,0.0
334.24,1,JordanManual,CCCAGG,334.62,334.24,334.6,VERI,1514806020,2018-01-01 14:51:31.544669,0.0,0.0
333.36,1,JordanManual,CCCAGG,333.41,333.31,333.41,VERI,1514806200,2018-01-01 14:51:31.544669,0.0,0.0
334.21,1,JordanManual,CCCAGG,334.21,333.6,333.6,VERI,1514806380,2018-01-01 14:51:31.544669,0.0,0.0
334.53,1,JordanManual,CCCAGG,334.53,334.33,334.35,VERI,1514806560,2018-01-01 14:51:31.544669,0.0,0.0
334.72,1,JordanManual,CCCAGG,334.72,334.38,334.42,VERI,1514806740,2018-01-01 14:51:31.544669,0.0,0.0
334.57,1,JordanManual,CCCAGG,334.75,334.57,334.75,VERI,1514806920,2018-01-01 14:51:31.544669,0.0,0.0
