Id,Id,Id.1,Id.1.1,Id.1.1.1,Id.1.1.1.1,Id.1.1.1.1.1,Id.1.1.1.1.1.1,Id.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1.1.1,has_pricing,symbol
526,526.0,526.0,526.0,,,,,,,,,0,DRKC
527,527.0,527.0,,,,,,,,,,1,DRKT
528,,,,,,,,,,,,1,DRM8
529,,,,,,,,,,,,1,DROP
530,530.0,530.0,530.0,530.0,530.0,,,,,,,0,DRP
531,531.0,531.0,,,,,,,,,,0,DRS
532,,,,,,,,,,,,0,DRT
533,533.0,533.0,,,,,,,,,,0,DRXNE
534,534.0,,,,,,,,,,,1,DRZ
535,535.0,535.0,,,,,,,,,,1,DSB
536,,,,,,,,,,,,1,DSH
537,,,,,,,,,,,,1,DT
538,538.0,,,,,,,,,,,1,DTB
539,,,,,,,,,,,,1,DTC
540,,,,,,,,,,,,1,DTC*
541,,,,,,,,,,,,0,DTCT
542,,,,,,,,,,,,1,DTR
543,543.0,543.0,,,,,,,,,,0,DTT
544,,,,,,,,,,,,0,DTT*
545,545.0,545.0,,,,,,,,,,0,DUB
546,,,,,,,,,,,,0,DUCK
547,547.0,547.0,,,,,,,,,,1,DUO
548,,,,,,,,,,,,0,DUTCH
549,,,,,,,,,,,,1,DUX
550,,,,,,,,,,,,1,DVC
551,551.0,,,,,,,,,,,1,DYN
552,,,,,,,,,,,,1,EA
553,,,,,,,,,,,,1,EAC
554,554.0,,,,,,,,,,,1,EAGS
555,555.0,555.0,,,,,,,,,,0,EARTH
556,,,,,,,,,,,,1,EB3
557,557.0,,,,,,,,,,,1,EBCH
558,558.0,558.0,,,,,,,,,,0,EBET
559,559.0,559.0,,,,,,,,,,1,EBS
