Algorithm,CHANGE24HOUR,CHANGEDAY,CHANGEPCT24HOUR,CHANGEPCTDAY,CoinName,FLAGS,FROMSYMBOL,FullName,FullyPremined,HIGH24HOUR,HIGHDAY,Id,ImageUrl,LASTMARKET,LASTTRADEID,LASTUPDATE,LASTVOLUME,LASTVOLUMETO,LOW24HOUR,LOWDAY,MARKET,MKTCAP,Name,OPEN24HOUR,OPENDAY,PRICE,PreMinedValue,ProofType,SUPPLY,SortOrder,Sponsored,Symbol,TOSYMBOL,TOTALVOLUME24H,TOTALVOLUME24HTO,TYPE,TotalCoinSupply,TotalCoinsFreeFloat,Url,VOLUME24HOUR,VOLUME24HOURTO,VOLUMEDAY,VOLUMEDAYTO,coin,coin_units,computer_name,source,timestamp_api_call
,,,,,True Flip Lottery,,,True Flip Lottery (TFL),0.0,,,150545.0,/media/1383621/tfl.png,,,,,,,,,,TFL,,,,,,,1271.0,0.0,TFL,,,,,8924667.5762055,,/coins/tfl/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
X11,,,,,BitStone,,,BitStone (BST),0.0,,,15272.0,/media/350558/bst.png,,,,,,,,,,BST,,,,,PoW/PoS,,477.0,0.0,BST,,,,,,,/coins/bst/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
X11,,,,,Prime-X1,,,Prime-X1 (PXI),0.0,,,15274.0,/media/350559/pxi.png,,,,,,,,,,PXI,,,,,PoW,,478.0,0.0,PXI,,,,,,,/coins/pxi/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
X11,,,,,CapriCoin,,,CapriCoin (CPC),0.0,,,15282.0,/media/350560/cpc.png,,,,,,,,,,CPC,,,,,PoW/PoS,,479.0,0.0,CPC,,,,,208000000,,/coins/cpc/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
Quark,,,,,Amsterdam Coin,,,Amsterdam Coin (AMS),0.0,,,15284.0,/media/350562/ams.png,,,,,,,,,,AMS,,,,,PoW/PoS,,480.0,0.0,AMS,,,,,,,/coins/ams/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,Obits Coin,,,Obits Coin (OBITS),1.0,,,15323.0,/media/350565/obits.png,,,,,,,,,,OBITS,,,,,,,481.0,0.0,OBITS,,,,,18276898,,/coins/obits/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
Scrypt,,,,, ClubCoin,,, ClubCoin (CLUB),0.0,,,15869.0,/media/350609/club.png,,,,,,,,,,CLUB,,,,,PoW/PoS,,482.0,0.0,CLUB,,,,,,,/coins/club/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,Radium,,,Radium (RADS),0.0,,,15870.0,/media/350610/rads.png,,,,,,,,,,RADS,,,,,PoS,,483.0,0.0,RADS,,,,,9000000,,/coins/rads/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
SHA256,,,,,Emercoin,,,Emercoin (EMC),0.0,,,15876.0,/media/350611/emc.png,,,,,,,,,,EMC,,,,,PoW/PoS,,484.0,0.0,EMC,,,,,1000000000,,/coins/emc/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
X13,,,,,BlitzCoin,,,BlitzCoin (BLITZ),0.0,,,15879.0,/media/350612/blitz.png,,,,,,,,,,BLITZ,,,,,PoS,,485.0,0.0,BLITZ,,,,,3852156,,/coins/blitz/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
